prot_name,log2(FC),#NAME?
2259,11.01262447,1.80030746
1279,10.77539491,2.444361826
5078,10.7193097,2.13624185
6283,10.60044851,1.769673844
739,10.51213996,1.517178085
3325,10.49980209,1.987477174
2632,10.43280408,1.997613994
7463,10.40231045,2.520992531
3546,10.36624607,1.912388439
4558,10.32987389,3.138866074
1637,10.28518651,1.599817967
7031,10.26141148,2.638006262
4554,10.22089585,2.484373694
2123,10.16241936,2.300177328
5069,10.15019196,2.117497848
3106,10.09133095,1.531840532
2983,10.06471522,3.142206677
3031,10.04106417,1.99811885
4557,10.03606038,3.005827907
5453,10.02826487,2.313359578
1832,10.00605378,2.174619281
4560,10.00284026,2.163311922
4979,9.992656363,1.840420292
7427,9.973553108,2.892515947
1886,9.949415279,3.295457291
6268,9.948661435,2.014282181
1795,9.888905622,2.656709796
5090,9.871139167,1.998017312
6190,9.865351926,2.712374084
5062,9.855676153,2.075570603
2149,9.852306422,3.294774186
6255,9.846302812,3.116787558
6284,9.835690765,2.240287226
2830,9.83459263,2.119059599
6274,9.834327485,1.661543927
5067,9.82561645,1.530346344
1596,9.806155525,1.86213486
6189,9.791948335,1.743780475
2334,9.768351951,2.755537511
2511,9.751004539,1.725242288
2006,9.737805667,2.764276964
7261,9.720590914,2.615729619
6468,9.719978827,2.704947714
4555,9.715022075,2.507900817
5060,9.707905199,1.37050191
4678,9.701420465,1.535859601
7032,9.691747275,3.119532818
6960,9.690013494,2.956925762
2016,9.677517211,1.749346162
2825,9.673195348,2.604031238
5393,9.669019158,1.628126424
3242,9.667486775,2.813557016
5178,9.648480551,1.720312644
2163,9.634994168,2.584525871
6404,9.627049889,1.40718929
2518,9.617311345,2.180415968
4913,9.597836895,2.067622376
5940,9.59517508,2.260893456
3237,9.583711814,3.195293346
5076,9.581465916,1.871915306
1963,9.56458574,1.669198602
358,9.555960048,2.544072591
5081,9.553930577,3.295189209
5595,9.5522442,3.295187907
2464,9.550698795,4.448774243
1290,9.547370456,1.353179149
7460,9.532626242,4.351126807
6959,9.521784099,2.452123568
353,9.509076341,3.295154078
3236,9.505337061,2.955383783
885,9.496947554,1.441682298
6157,9.489390049,0.79585541
707,9.48572566,1.864659974
740,9.485184634,2.520426326
4445,9.484813182,1.879606363
231,9.482070392,2.671384516
5640,9.479013844,2.061841859
7601,9.477406597,2.593596645
5013,9.472390859,2.744474353
977,9.469542864,1.754926174
5549,9.457106279,1.133223249
6263,9.451239314,2.526828275
365,9.445130498,2.940560108
